"USERID","CUST_PROD_ID","GRADEID","SUBTESTID","DATETIMESTAMP"
"5587495","5001","10006","2002",
"5587491","5001","10004","2002",
"5587478","5001","10002","2002",
"5587488","5001","10003","2001",
"5587487","5001","10003","2002",
"5587486","5001","10004","2001",
"5587557","5001","10004","2002",
"5587557","5001","10002","2002",
"5587554","5001","10003","2002",
"5587552","5001","10002","2002",
"5587550","5001","10004","2002",
"5587545","5001","10006","2002",
"5587540","5001","10005","2001",
"5593241","5001","10006","2002",
"5593135","5001","10004","2001",
"5593140","5001","10004","2001",
"5593127","5001","10003","2002",
"5593127","5001","10002","2001",
"5593117","5001","10002","2002",
"5588114","5001","10004","2002",
"5588112","5001","10002","2001",
"5588110","5001","10002","2001",
"5587528","5001","10006","2001",
"5587536","5001","10003","2001",
"5587526","5001","10004","2002",
"5587524","5001","10003","2002",
"5587532","5001","10004","2001",
"5587521","5001","10003","2002",
"5587506","5001","10006","2001",
"5587517","5001","10004","2001",
"5587516","5001","10006","2001",
"5587511","5001","10006","2002",
"5587510","5001","10003","2002",
"5587466","5001","10002","2002",
"5587465","5001","10002","2001",
"5587458","5001","10002","2001",
"5587457","5001","10002","2001",
"5587460","5001","10002","2001",
"5587456","5001","10002","2002",
"5594333","5001","10004","2002",
"5594329","5001","10002","2001",
"5594325","5001","10002","2001",
"5592908","5001","10005","2002",
"5592911","5001","10004","2001",
"5592808","5001","10003","2002",
"5592804","5001","10002","2001",
"5592804","5001","10002","2002",
"5592795","5001","10002","2002",
"5592794","5001","10003","2002",
"5592799","5001","10002","2002",
"5592789","5001","10003","2001",
"5593026","5001","10003","2002",
"5592921","5001","10006","2001",
"5592921","5001","10005","2001",
"5592925","5001","10005","2001",
"5592916","5001","10004","2001",
"5594344","5001","10006","2002",
"5593985","5001","10004","2001",
"5594081","5001","10003","2001",
"5594079","5001","10004","2001",
"5594078","5001","10002","2002",
"5594209","5001","10002","2002",
"5594206","5001","10002","2002",
"5594561","5001","10003","2001",
"5594462","5001","10003","2002",
"5594556","5001","10002","2002",
"5594582","5001","10006","2001",
"5594582","5001","10006","2002",
"5594582","5001","10005","2001",
"5594577","5001","10002","2001",
"5594581","5001","10002","2002",
"5594576","5001","10002","2001",
"5594601","5001","10003","2001",
"5594600","5001","10004","2002",
"5594600","5001","10002","2002",
"5594596","5001","10004","2002",
"5594589","5001","10002","2001",
